Дата публикации;Статус;ФЗ;Проект;Способ закупки;URL;Организатор;ИНН;Менеджер компании;СМП;Название;Комментарий;ПО, Бренд;ПО, шт;Терминал, Бренд;БТ, шт;Видео, бренд;Видео, шт;ДУТ, Бренд;ДУТ, шт;Регион;Сделок в АМО;Участники;Победитель
9 января 2025 г.;Не участвуем;223;СМТ;Закупка у единственного поставщика;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17753140;"ТАРАСОВСКОЕ ГАУ РО ""ЛЕС""";6133000498;;Нет;навигационно-информационные услуги по мониторингу подвижных объектов Заказчика, оснащен-ных оборудованием ГЛОНАСС/GPS/GSM;;Другое;50;;;;;;;Ростовская область;;РНИЦ по Ростовской области;РНИЦ по Ростовской области
9 января 2025 г.;Не участвуем;223;СМТ;Закупка у единственного поставщика;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17753178;"АО ""КРЫМЭКОРЕСУРСЫ""";9102299072;;Нет;Оказание услуг по предоставлению доступа к локальному серверу мониторинга транспорта;;Другое;450;;;;;;;Республика Крым;;Компания Глонасс Крым;Компания Глонасс Крым
9 января 2025 г.;Не участвуем;223;СМТ;Запрос предложений;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17754240;"ГАУ ""ЧЕБУЛИНСКИЙ ЛЕСХОЗ""";4213009679;Зимовская Е.;Да;"Поставка аппаратуры спутниковой навигации, с последующей установкой, настройкой и регистрации в АО ""ГЛОНАСС""";установка, настройка и регистрация в АО «ГЛОНАСС»;;;АСН;12;;;;;Кемеровская область;1;"Сибрь
Сибтранснавигация
МЦМ";Сибрь
9 января 2025 г.;Не участвуем;44;СМТ;Электронный аукцион;https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0345200019824000099;"ГБУ ЛО ""МФЦ""";7842453565;;Да;Услуги по техническому обслуживанию автотранспортных средств;только сервис 40 ед. тс;;;;;;;;;Санкт-Петербург;;;
9 января 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.tektorg.ru/market/procedures/13001470;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКНЕФТЕПРОДУКТ""";3201000493;Пашина Е.;Нет;Оказание услуг по технической поддержке оборудования спутникового мониторинга автотранспорта АвтоГРАФ-GSM (согласно техническому заданию);;Техноком;42;;;;;;;Брянская область;1;не раскрывается;не раскрывается
9 января 2025 г.;Не участвуем;ГК;СМТ;Объявление о покупке;https://bidzaar.com/process/light/df55393f-aef4-46a2-b080-dfeb39f85b4c;ГРУППА КОМПАНИЙ РУСАГРО;7728278043;Брилев А.;Нет;Оказание услуг по монтажу, ремонту и сервисному обслуживанию оборудования системы мониторинга АО «ПримАгро»;"Терминалы Галилеоскай, Миелта, Омникомм;ДУТ Эскорт, Омникомм";Виалон;496;Галилео;1;;;Эскорт;1;Москва;15;;
9 января 2025 г.;Не участвуем;ГК;СМТ;Объявление о покупке;https://bidzaar.com/process/light/fe1b971c-4622-46ba-a845-fce803cbaba9;ГРУППА КОМПАНИЙ РУСАГРО;7728278043;Брилев А.;Нет;Поставка и монтаж комплектов системы мониторинга транспорта нижнего уровня(СМТ НУ) ГК РУСАГРО;;;;Галилео;673;;;;;Москва;15;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://eep.mitwork.kz/ru/publics/buy/146501;"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАВЛОДАР-ВОДОКАНАЛ""";010640005023;;Нет;Абонентское обслуживание системы спутникового мониторинга включая GSM связь. Согласно технической спецификации;количество тс не указано;Общие требования;1;;;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://eurasiantech-tender.kz/Purchase/Index/44495;ТОО Водные ресурсы-Маркетинг;980440001768.;;Нет;Услуги по обслуживанию GPS/ГЛОНАСС трекеров;колиичество тс не указано;Общие требования;1;Общие требования;1;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13540404;"961140001479 Государственное учреждение ""Департамент полиции Жамбылской области Министерства внутренних дел Республики Казахстан""";961140001479;;Да;Техническое обслуживание GPS трекеров;только сервис;Техноком;1;;;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13547246;"010740002558 Товарищество с ограниченной ответственностью ""Хозяйственное управление аппарата акима ЗКО""";010740002558;;Нет;Услуги обслуживания «Системы спутникового мониторинга и контроля транспорта «АвтоГРАФ»;;Техноком;20;;;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13551632;"980440001034 Республиканское государственное предприятие на праве хозяйственного ведения ""Автохозяйство Управления материально-технического обеспечения""";980440001034;;Нет;Техническое обслуживание системы GPS мониторинга, GPS-трекеров и датчиков уровня топлива, техническая поддержка программного обеспечения;;Общие требования;150;;;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13557484;"070340009899 Государственное коммунальное предприятие на праве хозяйственного ведения ""Станция скорой медицинской помощи"" управления здравоохранения города Шымкент";070340009899;;Нет;Услуги обслуживание систем GPS трекеров Arvento K12, установленных на транспортных средствах (техническая поддержка, использование ПО и сервера, карты мира, лицензированные цифровые карты);установлены трекеры Arvento K12, количество не указано;Общие требования;1;;;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13566949;"060640003781 Товарищество с ограниченной ответственностью ""Теплотранзит Караганда""";060640003781;;Нет;Услуга сотовой связи по передаче данных с модулей GPS с установкой на автотранспорт (98 устройств) и с настройкой коммутационного оборудования;;Общие требования;98;;;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13571222;"101240019269 Республиканское государственное учреждение ""Департамент Судебной администрации Республики Казахстан по Восточно-Казахстанской области""";101240019269;;Нет;техническое обслуживание GPS приемников служебных автомобилей;;Общие требования;23;;;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://zakup.sk.kz/#/ext(popup:item/1065993/advert;"Товарищество с ограниченной ответственностью ""Экибастузская ГРЭС-1 имени Булата Нуржанова""";960840000532;Муканов Т.;Нет;Услуги системы спутникового мониторинга транспортных средств;;Общие требования;63;;;;;;;Республика Казахстан;1;;
10 января 2025 г.;Не участвуем;223;СМТ;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17763150;"ФБУ ""САМАРСКИЙ ЦСМ""";6311012306;;Да;Оказание услуг по абонентскому и техническому обслуживанию навигационного оборудования по системе ГЛОНАСС автотранспортных средств;;Общие требования;43;;;;;;;Самарская область;;;
10 января 2025 г.;Не участвуем;223;СМТ;Мелкая закупка;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17761323;"МАУ ""ХОЗЯЙСТВЕННОЕ УПРАВЛЕНИЕ МР УФИМСКИЙ РАЙОН РБ""";0245960350;;Да;Оказание услуг по техническому обслуживанию программно-аппаратного комплекса ГЛОНАСС/GPS мониторинга транспортных средств;Установлены терминалы Орбита, Навтелеком, Форт, Умка;Общие требования;120;;;;;;;Республика Башкортостан;;;
10 января 2025 г.;Не участвуем;223;СМТ;Упрощенная закупка;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17760690;"КГСАУ ""ЗАБАЙКАЛЛЕСХОЗ""";7536129898;Зимовская Е.;Да;Оснащение транспорта аппаратурой спутниковой навигации;;;;АСН;45;;;;;Забайкальский край;1;0 заявок;нет
10 января 2025 г.;Не участвуем;ГК;СМТ;Аукцион;https://sti-trade.ru/tenders/tenders_detail.php?LOT_ID=11586;ООО «Давлекановский КХП №1»;0216006326;;Нет;Лот №11586 Прибор спутниково мониторинга Galileosky 7x Plus;;;;Галилео;40;;;;;Республика Башкортостан;;;
10 января 2025 г.;Не участвуем;СНГ;СМТ;Закупка у единственного поставщика;https://td.ccx.kz/open_trades_list;АО Мангистауская региональная электросетевая компания;920440000302;Мушатов Н.;Нет;Услуги по техническому обслуживанию автотранспорта/специальной техники (аренда, мониторинг и обслуживания GPS);ПО Go-efirsoft (globars), установлены ДУТ Эскорт, плюс сервис;Общие требования;85;Общие требования;4;;;;;Республика Казахстан;1;;
10 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://td.ccx.kz/open_trades_list;ТОО Оңтүстік Жарық Транзит;050740003632;;Нет;Услуга на выполнение услуг по спутниковому мониторингу автотранспорта, оснащенного навигационно-связным (GPS, ГЛОННАС) и Приемо-передающим оборудованием ТОО «Оңтүстік Жарық Транзит»;регистарция есть, компания на рассмотрении. Установлены FM 500 Lith, Ruptela Eco 4, Teltonika FMB;Общие требования;294;;;;;;;Республика Казахстан;;Спектурм;Спектурм
10 января 2025 г.;Не участвуем;СНГ;СМТ;Прочее;https://mp.kz/tender/224928;Народный Банк Казахстана;940140000385;Жасталапов А.;Нет;"Лот 224928 ""Выбор поставщика на закупку услуг по абонентскому обслуживанию системы GPS служебного автотранспорта АО «Народный Банк Казахстана».""";;Общие требования;138;;;;;;;Республика Казахстан;1;;
13 января 2025 г.;Не участвуем;223;СМТ;Закупка у единственного поставщика;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17763237;"ООО ""ТРАНСПОРТ ВЕРХНЕВОЛЖЬЯ""";6950235097;;Нет;Выполнение работ по подключению и обеспечению функционирования системы транспорта общего пользования на территории Тверской области по нетто-контрактам;приложен только протокол;Общие требования;1;;;;;;;Тверская область;;Навигуру;Навигуру
13 января 2025 г.;Не участвуем;223;СМТ;Закупка у единственного поставщика;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17771329;"АО ""ПРИМАВТОДОР""";2538099431;Бондарь Д.;Нет;Оказание услуг по обслуживанию бортовых контроллеров ГЛОНАСС с сим-картой;809 сим-карт;Техноком;809;;;;;;;Приморский край;1;ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СПУТНИКОВОГО МОНИТОРИНГА;Дальневосточный центр спутникового мониторинга
13 января 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17773053;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" Г.ИРКУТСКА";3807000276;;Нет;Оказание услуг по абонентскому обслуживанию системы Глонасс/GPS;"Установлены терминалы «MS-PGSM Logistic»; «Naviset»; «УТП»; «ADM» ; «Смарт»";Общие требования;146;;;;;;;Иркутская область;;;
13 января 2025 г.;Не участвуем;СНГ;СМТ;Закупка у единственного поставщика;https://eep.mitwork.kz/ru/publics/buy/147269;"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАВЛОДАР-ВОДОКАНАЛ""";010640005023;;Нет;Абонентское обслуживание системы спутникового мониторинга включая GSM связь. Согласно технической спецификации;информации об оборудовании и количестве нет (в договре фигурирует только ремонт);Общие требования;1;;;;;;;Республика Казахстан;;GPS КОНТРОЛЬ;GPS контроль
13 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13584263;"160740016924 Коммунальное государственное учреждение ""Управление делами акимата Атырауской области""";160740016924;;Нет;Согласно технической спецификации Услуги по техническому обслуживанию навигационного и аналогичного оборудования GPS;;Общие требования;30;;;;;;;Республика Казахстан;;;
13 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13603508;"130540005598 Коммунальное государственное учреждение ""Управление делами акимата Кызылординской области"" аппарата акима Кызылординской области";130540005598;;Нет;Работы по оснащению (установке оборудования и деталей) автомобилей оборудованием GPS;;Общие требования;37;Общие требования;37;;;;;Республика Казахстан;;;
14 января 2025 г.;Не участвуем;223;СМТ;Закупка у единственного поставщика;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17774609;"ООО ""ПОДСОБНОЕ""";7008006600;;Нет;Услуги по сервисному обслуживанию Системы мониторинга и диспетчеризации «Автонавикс».;только сервис, документов нет;;;;;;;;;Томская область;;;
14 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://eurasiantech-tender.kz/Purchase/Index/45097;ТОО Водные ресурсы-Маркетинг;980440001768;Жасталапов А.;Нет;Услуги по обслуживанию GPS/ГЛОНАСС трекеров (повтор);;Общие требования;74;Общие требования;12;;;;;Республика Казахстан;1;;
14 января 2025 г.;Не участвуем;СНГ;СМТ;Прочее;https://mp.kz/tender/225220;Народный Банк Казахстана;940140000385;Жасталапов А.;Нет;"Лот 225220 ""Выбор поставщика на закупку услуг по абонентскому обслуживанию системы GPS служебного автотранспорта АО «Народный Банк Казахстана».""";;Общие требования;138;;;;;;;Республика Казахстан;1;;
14 января 2025 г.;Нет итогов;ГК;СМТ;Запрос предложений;https://bidzaar.com/process/light/5e1f195c-a187-47a3-82e9-7b303ff7b692/request;"ООО ""Интернет-решения"" OZON";7704217370;Несоленый И.;Нет;Тендер на поставку и монтаж телематических систем для OZON Fresh 2025;" 18.03.2025, 14:00
переторжка до 14.02.2025 14:00. Отправляли письмо по почте с расценками 14.02.2025. Итогов на площадке не будет, вероятнее проиграно, цены у конкурентов в 2 раза меньше наших.";Общие требования;669;Общие требования;669;;;Общие требования;669;Москва;8;скрыто;
15 января 2025 г.;Не участвуем;223;СМТ;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17777197;"АО ""РИК АВТОДОР""";1419005577;Зимовская Е.;Нет;Запрос котировок в электронной форме на оказание услуг по организации информационного обслуживания, системы контроля расхода топлива и мониторинга транспорта;количество приблизительное;Общие требования;240;;;;;;;Республика Саха (Якутия);1;;
15 января 2025 г.;Не участвуем;223;СМТ+Тах;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17780008;"АО ""ВОДОКАНАЛ""";2130017760;;Нет;Оказание услуг по абонентскому обслуживанию системы спутникового (ГЛОНАСС/GPS) мониторинга транспортных средств, сервисному техническому обслуживанию оборудования системы спутникового мониторинга транспортных средств и поставке оборудования, его монтаж, пуско-наладка и ввод в эксплуатацию;Трекеры Арнави, сервисные работы. Гелиоссфот, АруснавиЭлектроникс. Тахограф и СКЗИ;Другое;129;Другое;7;;;;;Чувашская Республика - Чувашия;;;
15 января 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.tektorg.ru/market/procedures/13035197;"Акционерное общество ""Самаранефтепродукт""";6317019121;;Да;Оказание услуг по абонентскому и сервисному обслуживанию системы мониторинга транспортных средств аппаратурой спутниковой навигации ГЛОНАСС или ГЛОНАСС/GPS.;Установлены Навтелеком, Галилеоскай, ДУТ Омникомм, Эскорт. Оснащение по заявкам;Общие требования;51;Навтелеком;1;;;Омникомм;1;Самарская область;1;не раскрывается;не раскрывается
15 января 2025 г.;Не участвуем;ГК;СМТ;Запрос предложений;https://www.b2b-center.ru/market/view.html?id=3910002&utm_source=seldon&utm_medium=referral&utm_campaign=ref_id;"ООО ""УК ""Колмар""";7701924275;Зимовская Е.;Нет;Терминал GPS/ГЛОНАСС Galileosky 7.0 для мониторинга автотранспорта Wi-Fi (Заявка 55198);;;;Галилео;1;;;;;Москва;2;;
15 января 2025 г.;Не участвуем;ГК;СМТ;Объявление о покупке;https://bidzaar.com/process/light/62b1a537-566d-4721-907b-5d882bcb86dd;ГРУППА КОМПАНИЙ РУСАГРО;7728278043;Брилев А.;Нет;Сигналы для систем автоматического вождения для ГК Русагро на 2025г.;;;;;;;;;;Москва;15;;
15 января 2025 г.;Не участвуем;ГК;СМТ;Открытый конкурс;https://www.bngf.ru/procurement/all-procurements/;"АО ""Таймыргеофизика""";8400000578;Несоленый И.;Нет;Закупка и обслуживание систем мониторинга, видеорегистрации и тахографов;установлены терминалы Iridium. Ед. расценки, плюс сервисные работы;Виалон;1;Галилео;1;Карвис;1;;;Красноярский край;5;;
15 января 2025 г.;Не участвуем;ГК;СМТ;Прочее;https://www.rts-tender.ru/poisk/id/l3910173-4-11-1/;"Общество с ограниченной ответственностью ""Балаковская АЭС-Авто""";6439071143;Миронов М.;Нет;Поставка аппаратуры спутниковой навигации для транспортных средств с установкой;;;;Навтелеком;74;;;;;Саратовская область;4;;
15 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13642302;"070340010238 Государственное коммунальное предприятие на праве хозяйственного ведения ""Областная станция скорой медицинской помощи"" управления здравоохранения Туркестанской области";070340010238;;Нет;Закуп услуг согласно с технической характеристики;;Общие требования;200;Форт;20;;;;;Республика Казахстан;;;
15 января 2025 г.;Нет итогов;ГК;ВА;Прочее;https://srm.nornik.ru/nwbc/?sap-nwbc-node=0000000115&sap-nwbc-context=03HM333035D633D53336748A8A0FF6718E0F0E0D08F0F1740D8AF7F473F30FF20552C1214106464666061075064606C60620601C10146C600C660300&sap-client=300&sap-language=RU&sap-nwbc-history_item=&sap-theme=sap_corbu;"АО ""КОЛЬСКАЯ ГМК""";5191431170;Тимофеев Д.;Нет;"Установка видеорегистрации водителей ТС
Установка бортовой системы видеоаналитики действий водителей транспортных средств собственности АО «Кольская ГМК», в соответствии с техническим заданием № 201 ОА_ТУ";совместимость с ТИС. Опубликовано новое;ТИС;27;;;Стримакс;27;;;Мурманская область;5;;
15 января 2025 г.;Нет итогов;ГК;СМТ;Мониторинг рынка цен;https://www.rosatom.rts-tender.ru/market/postavka-apparatury-sputnikovoi-navigatsii-dlia-transportnykh-sredstv-s/tender-3910173/;"Общество с ограниченной ответственностью ""Балаковская АЭС-Авто""";6439071143;Миронов М.;Нет;Поставка аппаратуры спутниковой навигации для транспортных средств с установкой;;;;Навтелеком;74;;;;;Саратовская область;4;;
16 января 2025 г.;Не участвуем;223;СМТ;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17784649;"АО ""ЯМАЛАВТОДОР""";8901033694;Зимовская Е.;Нет;Оказание услуг по техническому и информационному обслуживанию системы спутникового контроля автотранспорта;;Скаут;268;;;;;;;Ямало-Ненецкий АО;2;;
16 января 2025 г.;Не участвуем;223;СМТ;Запрос предложений;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17786669;"ФГУП ""ГУСС""";2315078029;Продажи SKAI;Нет;№ ЗП-25-01-08 Поставка и установка оборудования контроля топлива и навигационных терминалов;ед. расценки (ДуТ ДУТ-Р7-АС), плюс сервис;;;Другое;1;;;Другое;1;Москва;1;;
16 января 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://tender.lot-online.ru/etp/app/SmallPurchaseCard/page?SmallPurchaseCard.smallPurchaseEntity=MT%3Aprcreq19718ug0000p8qf70s7366qo2s;"Дагестанский филиал АО ""Гидроремонт-ВКК"" в г. Махачкала";6345012488;Веретенников Д.;Нет;ОКПД2 [61.90.10] Оказание услуг абонентского обслуживания системы мониторинга транспортных средств посредством системы спутникового мониторинга на основе GPS/ГЛОНАСС для нужд Дагестанского филиала АО «Гидроремонт-ВКК» в г. Махачкала;;Общие требования;20;;;;;;;Самарская область;1;;
16 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://www.ets-tender.kz/market/view.html?id=2063017;"ТОО ""ЖЭС""";120240023812;;Нет;GPS мониторинг транспортных средств;аренда;Общие требования;309;Общие требования;309;;;;;Республика Казахстан;;;
17 января 2025 г.;Не участвуем;223;СМТ;Открытый запрос котировок;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17787878;"АО ""АЛЬМЕТЬЕВСК-ВОДОКАНАЛ""";1644034674;;Нет;Абонентское обслуживание систем спутникового мониторинга в программном обеспечении ГЛОНАССSoft (или эквивалент);установлены терминалы навтелеком;Глонасссофт;40;;;;;;;Республика Татарстан;;;
17 января 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.tektorg.ru/market/procedures/13051707;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РН-ТВЕРЬ""";6905035353;Миронов М.;Нет;"Оказание услуг по оснащению легковых автомобилей АО ""РН-Тверь"" спутниковой системой навигации и мониторинга с контролем расхода топлива";Start S-2013;;;Навтелеком;1;;;;;Тверская область;2;не раскрывается;не раскрывается
17 января 2025 г.;Не участвуем;ГК;СМТ;Упрощенная закупка;https://tender.lot-online.ru/etp/app/LotCard/page?LotCard.lotEntity=LT%3Acorebo19718ug0000p8sjq322oit7qik;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ""";2801108200;Несоленый И.;Нет;"ОКПД2 62.09.20 Услуги по обслуживанию программного обеспечения ""Автограф"" для филиала ""Амурские электрические сети""";Установлены АвтоГРАФ-GSM» ГЛОНАСС, «АвтоГРАФ-GSM+» ГЛОНАСС, «АвтоГРАФ SX», «Автограф GX», количество неизвестно;Техноком;1;;;;;;;Амурская область;8;;
17 января 2025 г.;Не участвуем;ГК;СМТ;Упрощенная закупка;https://tender.lot-online.ru/etp/app/LotCard/page?LotCard.lotEntity=LT%3Acorebo19718ug0000p8skhk1bffd97fk;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ""";2801108200;Несоленый И.;Нет;"ОКПД2 45.20.11.000 Услуги по техническому обслуживанию приборов мониторинга автотранспорта оборудования «Автограф» филиала ""Амурские Электрические Сети """;количество тс неизвестно;Техноком;1;;;;;;;Амурская область;8;;
17 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13662024;"070440005027 Государственное коммунальное предприятие на праве хозяйственного ведения ""Целиноградская районная поликлиника"" при управлении здравоохранения Акмолинской области .";070440005027;;Нет;Услуга GPS мониторинга автотранспорта ГКП на ПХВ Целиноградская поликлиника;;Омникомм;17;;;;;;;Республика Казахстан;;;
17 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13678894;"060240003537 Товарищество с ограниченной ответственностью ""АСТАНА-ЗЕЛЕНСТРОЙ""";060240003537;;Нет;Работа по установке датчиков уровня топлива на транспортные средства;;;;;;;;Общие требования;225;Республика Казахстан;;;
17 января 2025 г.;Не участвуем;СНГ;СМТ;Объявление о продаже;https://www.ets-tender.kz/market/view.html?id=2063175;"АО ""АК Алтыналмас""";950640000810;Васильченко А.;Нет;Датчик уровня топлива Omnicomm LLS 4 700мм;документация отсутствует;;;;;;;Омникомм;42;Республика Казахстан;5;;
17 января 2025 г.;Не участвуем;СНГ;СМТ;Открытый конкурс;https://goszakup.gov.kz/ru/announce/index/13629675;"000940001901 Государственное учреждение ""Отдел государственных активов и закупок города Караганды""";000940001901;;Нет;Обслуживание оборудования GPS устройств, сопровождение программного обеспечения Omnicom (98 GPS треккеров);;Омникомм;98;;;;;;;Республика Казахстан;;;
17 января 2025 г.;Отказ ДП;223;СМТ;Конкурс;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17789208;"ПАО ""РОССЕТИ""";4716016979;Семеренко И.;Нет;Право заключения договора на оказание услуг по поставке, внедрению и сопровождению системы мониторинга транспортных средств МЭС Центра.;"ед. расценки, плюс монтажи. Готовим вопросы (Женя С.). ДОГОВОР на доску, когда будет подтверждено уучастие. Запрос оттправлен. Ответили и изменили ТЗ; Женя С.: В тендер не идем, коммерческие условия неприемлемы.";Общие требования;1;Общие требования;1;;;;;Москва;3;"Геосервис
Таходрайв Сервис
АТ Транс";не состоялась, все отклонены
17 января 2025 г.;Отказ ДП;ГК;СМТ+ВА;Запрос котировок;https://www.tektorg.ru/market/procedures/13051440;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-ЭКСПЛОРЕЙШН""";7706230432;;Нет;Предоставление и техническое обслуживание бортового навигационно-связного оборудования, системы мониторинга состояния водителя и помощи водителю;"От ДП ответа нет. Карточка понедельник 20.01.2025. Оказание услуг ретрансляции данных в ИС ЕКТП;";Общие требования;2;Общие требования;2;Общие требования;2;Общие требования;2;Москва;1;;
17 января 2025 г.;Проиграно;ГК;СМТ;Запрос предложений;https://www.b2b-center.ru/market/view.html?id=3914499&utm_source=seldon&utm_medium=referral&utm_campaign=ref_id;"АО ""ТАНДЕР""";2310031475;Харитонов А.;Нет;"Выбор компании на оказание услуг установки и обслуживания систем мониторинга транспорта ТС для АО ""ДИКСИ Юг"" (См. закупочную документацию)";плюс доп.оборудование. Единичные расценки. От нас только ТП и запросы на разъяснение. ТП отправлено Кате Стрельниковой. Информации о выигрыше нет, вероятнее всего проиграно;Общие требования;1372;Общие требования;1;;;Общие требования;1;Краснодарский край;3;4 заявки,скрыто;Скрыто
20 января 2025 г.;Выиграно;СНГ;СМТ;Двухэтапный запрос предложений;https://torgi.erg.kz/supplier/#/competitions/534957/competition-common-info;Business & Technology Service ТОО;90740008968;Васильченко А.;Нет;"03030207 - Ремонт и ТО машин и оборудования офисных
ИЗ ТЗ Услуги по информационному обслуживанию и технической поддержке";987 ТС, а/о Скай на 2025 год.;Скай;987;;;;;;;Республика Казхастан;;ТОО СТМ;ТОО СТМ
20 января 2025 г.;Не участвуем;223;СМТ;Закупка у единственного поставщика;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17799065;"АО ""СИТИМАТИК - НИЖНИЙ НОВГОРОД""";5260278039;Зимовская Е.;Нет;Система спутникового мониторинга транспортных средств;ед. расценки;Общие требования;91;Омникомм;1;;;Омникомм;1;Нижегородская область;1;;
20 января 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.rts-tender.ru/poisk/id/l12441743-3-9-1/;Муниципальное бюджетное учреждение «Хозяйственно-эксплуатационное управление»;5012049419;;Нет;Оказание услуг по техническому обслуживанию навигационного оборудования ГЛОНАСС;;Общие требования;70;;;;;;;Московская область;;;
20 января 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.tektorg.ru/market/procedures/13051542;"Закрытое акционерное общество ""Топливо-заправочный комплекс Шереметьево""";5047058580;Тучков М.;Нет;"Оказание услуг по поставке и установке аппарутры спутниковой навигации (АСН) для ЗАО ""ТЗК Шереметьево""";"2216; плюс монтаж";;;АСН;9;;;;;Московская область;3;не раскрывается;не раскрывается
20 января 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.tektorg.ru/market/procedures/13051901;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОРОНЕЖНЕФТЕПРОДУКТ""";3664002554;Миронов М.;Нет;Оказание услуг по GPS/ ГЛОНАСС мониторингу транспортных средств с обслуживанием, сопровождением и технической поддержкой информационных систем и оборудования.;"SKIF.PRO; 2 шт. Навтелком, 2 шт. Нематика; плюс монтажи/демонтажи";Другое;80;Галилео;3;;;;;Воронежская область;1;не раскрывается;не раскрывается
