Дата публикации;Статус;ФЗ;Проект;Способ закупки;URL;Организатор;ИНН;Менеджер компании;СМП;Название;Комментарий;ПО, Бренд;ПО, шт;Терминал, Бренд;БТ, шт;Видео, бренд;Видео, шт;ДУТ, Бренд;ДУТ, шт;Регион;Сделок в АМО;Участники;Победитель
22 сентября 2025 г.;Не участвуем;ГК;ТМ;Прочее;https://zakupki.mos.ru/need/5660891;"АКЦИОНЕРНОЕ ОБЩЕСТВО ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";2902060361;;Нет;Проведение дистанционных осмотров водителей ТС;Количество МО неизвестно;;;;;;;;;Архангельская область;;;
23 сентября 2025 г.;Не участвуем;ГК;СМТ;Объявление о покупке;http://bp.zakazrf.ru/DeliveryRequest/id/1619794;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДЕПАРТАМЕНТ ПРОДОВОЛЬСТВИЯ И СОЦИАЛЬНОГО ПИТАНИЯ Г.КАЗАНИ""";1659183598;;Нет;Обслуживание и ремонт бортовых навигационно-телематических модулей (БНТМ);;Омникомм;70;Другое;10;;;;;Республика Татарстан;;;
23 сентября 2025 г.;Не участвуем;ГК;СМТ;Прочее;https://zakupki.gazprom-neft.ru/tenderix/view.php?ID=53337;ООО «Комплекс Парадная»;7826711272;Тимофеев Д.;Нет;Оказание услуг по установке и ТОиР бортовых систем мониторинга;"БСМТС Arkan Vising 24 - 48
БСМТС Скаут МТ - 32
Абонентка + 245 уже оснащенных";Скаут;325;Скаут;80;;;;;Санкт-Петербург;1;;
23 сентября 2025 г.;Отказ ДП;ГК;СМТ;Прочее;https://zakupki.gazprom-neft.ru/tenderix/view.php?ID=53337;ООО «Комплекс Парадная»;7826711272;Тимофеев Д.;Нет;Оказание услуг по установке и ТОиР бортовых систем мониторинга;"Ждем тендер на ВА. В СМТ не идем. Саша Глют уточняет у Заказчика возможность участия.  Только потом пишем карточку. БСМТС Arkan Vising 24 - 48
БСМТС Скаут МТ - 32, Абонентка + 245 уже оснащенных";Скаут;325;Скаут;80;;;;;Санкт-Петербург;1;;
24 сентября 2025 г.;Не участвуем;223;СМТ;Запрос котировок;http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32515234628;"АО ""МЕЖДУНАРОДНЫЙ АЭРОПОРТ СОЧИ""  АО ""МАС""";2317044843;Буймистр Н.;Да;Поставка товара и выполнение, оказание работ, услуг по Замене навигационных систем спутникового мониторинга GPS/ГЛOHACC-трекеров;;;;ГЛОНАССсофт (Умка);82;;;Эскорт;82;Краснодарский край;1;;
24 сентября 2025 г.;Не участвуем;223;СМТ;Объявление о покупке;https://market.mosreg.ru/Trade/ViewTrade?id=3452130;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСКОЕ ОБЪЕДИНЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" ГОРОДСКОГО ОКРУГА СТУПИНО МОСКОВСКОЙ ОБЛАСТИ";5045003106;;Нет;Оказание услуг по установке и абонентскому обслуживанию спутниковой системы мониторинга ГЛОНАСС;;Общие требования;46;ГЛОНАССсофт (Умка);46;;;Эскорт;43;Московская область;;;
24 сентября 2025 г.;Не участвуем;223;СМТ+Тах;Запрос котировок;http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32515237192;"ПАО ""РОССЕТИ СЕВЕРО-ЗАПАД""";7802312751;Семеренко И.;Да;"25Т7310060.0182. Оказание услуг по диагностике и настройке технических средств контроля за соблюдением водителями режимов движения, труда и отдыха, бортовых терминалов мониторинга автотранспорта, датчиков уровня топлива для нужд ПО ""ВЭС"" филиала ПАО ""Россети Северо-Запад"" в Республике Коми";только сервис установленного оборудования. В том числе тахография;;;;;;;;;Санкт-Петербург;3;;
24 сентября 2025 г.;Не участвуем;ГК;ВА;Запрос котировок;https://www.tektorg.ru/market/procedures/16276543;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-ИНГУШНЕФТЕПРОДУКТ""";0603285282;;Нет;Оснащение транспортных средств системой контроля водителя и дорожной обстановки (DSM+ADAS);ТЗ Роснефти.;Общие требования;6;;;Общие требования;6;;;Республика Ингушетия;;;
24 сентября 2025 г.;Не участвуем;ГК;ВМ/ТБ;Запрос котировок;https://www.tektorg.ru/market/procedures/16267336;"Общество с ограниченной ответственностью Частное охранное предприятие ""РН-Охрана-Приморье""";2508084318;;Нет;Поставка автомобильных видеорегистраторов для нужд ООО ЧОП «РН-Охрана-Приморье»;;;;;;Сова;2;;;Приморский край;;;
24 сентября 2025 г.;Не участвуем;ГК;ВМ/ТБ;Прочее;https://etpgpb.ru/procedure/tender/price_request/836902-meka-023370-sistema-videonablyudeniya-cmt-01-9hd-parkcam-dlya-gruzovogo-transporta/;Общество с ограниченной ответственностью «ГСП-Механизация»;7810442793;Миронов М.;Нет;МЕКА-023370 (Система видеонаблюдения CMT-01/9HD ParkCam, для грузового транспорта);;;;;;;;;;Санкт-Петербург;8;;
